itemId,itemCooldown,fighterHealth,fighterAttackInterval,fighterProjectileDamage,equipmentInterval,equipmentDamageMultiplier,explosionRadius,areaDamageMultiplier,maximumChainTargets,chainDamageMultiplier,maximumLinkedTargets
aircraft_charge,1.8,6,0.25,0.8,,,,,,,
aircraft_shield,3.5,20,1,2,,,,,,,
aircraft_explosive,2,12,0.5,0.8,,,,,,,
aircraft_sniper,4.5,6,1,2.5,,,,,,,
aircraft_laser,2,8,1,0.5,,,,,,,
aircraft_shotgun,3.5,16,1,0.8,,,,,,,
aircraft_l,4,,,,,,,,,,
equipment_first,4,,,,0.8,1,0.8,0.5,,,
equipment_rapid_cannon,2.5,,,,0.6,1,,,,,
equipment_wave_emitter,3,,,,0.8,1,,,,,
equipment_laser_link,3,,,,3,1,,,,,3
equipment_1x2,2.5,,,,0.8,1,,,,,
equipment_arc_coil,3.5,,,,0.8,1,,,3,0.5,
